date,sales,temperature,is_holiday
2023-01-01,111.936281,4.10006,1
2023-01-02,120.33588,2.804389,1
2023-01-03,117.991534,4.354113,1
2023-01-04,92.114665,6.086153,0
2023-01-05,78.423392,2.556687,0
2023-01-06,89.054495,2.545169,0
2023-01-07,96.498094,6.16387,0
2023-01-08,95.772939,4.53587,0
2023-01-09,100.639424,2.061162,0
2023-01-10,90.022578,4.087898,0
2023-01-11,84.947025,2.082164,0
2023-01-12,72.372155,2.087315,0
2023-01-13,91.5028,3.516025,0
2023-01-14,88.947239,-0.777588,0
2023-01-15,83.195695,-0.380451,0
2023-01-16,85.656651,1.968758,0
2023-01-17,86.682384,1.095148,0
2023-01-18,92.823112,3.780301,0
2023-01-19,82.719771,1.370266,0
2023-01-20,80.38668,0.399715,0
2023-01-21,87.927114,6.197117,0
2023-01-22,88.941991,2.859242,0
2023-01-23,86.00168,3.494289,0
2023-01-24,84.581739,0.561624,0
2023-01-25,82.379833,2.377677,0
2023-01-26,89.536098,3.747027,0
2023-01-27,84.290495,1.285335,0
2023-01-28,87.395467,4.404239,0
2023-01-29,105.474131,2.52045,0
2023-01-30,92.123608,3.210566,0
2023-01-31,98.137803,2.666087,0
2023-02-01,100.058445,7.652901,0
2023-02-02,78.478335,4.00347,0
2023-02-03,86.060987,2.000412,0
2023-02-04,90.091947,5.849519,0
2023-02-05,90.398165,1.854537,0
2023-02-06,99.498657,4.808917,0
2023-02-07,87.511034,0.569959,0
2023-02-08,84.898057,1.934152,0
2023-02-09,86.35563,5.088555,0
2023-02-10,87.247149,6.279128,0
2023-02-11,86.336402,5.255316,0
2023-02-12,99.724415,4.794656,0
2023-02-13,101.749353,4.540074,0
2023-02-14,93.731101,2.304487,0
2023-02-15,87.103001,3.943979,0
2023-02-16,83.269206,4.587375,0
2023-02-17,86.773298,7.750694,0
2023-02-18,104.950289,6.454259,0
2023-02-19,98.497749,2.37425,0
2023-02-20,94.021691,6.684503,0
2023-02-21,95.316773,5.404831,0
2023-02-22,87.987848,4.962428,0
2023-02-23,92.191141,7.683473,0
2023-02-24,93.743137,8.668499,0
2023-02-25,100.31239,8.617927,0
2023-02-26,91.838968,5.228242,0
2023-02-27,98.551884,6.44196,0
2023-02-28,87.729861,7.878972,0
2023-03-01,87.004602,9.325903,0
2023-03-02,92.807537,6.577091,0
2023-03-03,85.198991,7.32696,0
2023-03-04,88.315944,5.65061,0
2023-03-05,116.378154,5.637983,1
